Weekday,Date,Miles_Ran,Fastest_Mile,Slowest_Mile,Avg_Pace,Goal_Avg_Pace
Thursday,10/20/2022,2,7'55,8'17,8'06,8'30
Friday,10/21/2022,2,6'56,7'30,7'37,8'25
Saturday,10/22/2022,,,,,
Sunday,10/23/2022,,,,,
Monday,10/24/2022,4,7'40,8'11,7'52,8'20
Tuesday,10/25/2022,,,,,
Wednesday,10/26/2022,2,7'17,7'39,7'28,8'15
Thursday,10/27/2022,,,,,
Friday,10/28/2022,2,6'46,6'52,6'49,8'10
Saturday,10/29/2022,,,,,
Sunday,10/30/2022,,,,,
Monday,10/31/2022,5,,,,8'20
Tuesday,11/1/2022,,,,,
Wednesday,11/2/2022,2,,,,8'00
Thursday,11/3/2022,,,,,
Friday,11/4/2022,3,,,,8'00
Saturday,11/5/2022,,,,,
Sunday,11/6/2022,,,,,
Monday,11/7/2022,5,,,,8'10
Tuesday,11/8/2022,,,,,
Wednesday,11/9/2022,3,,,,8'00
Thursday,11/10/2022,,,,,
Friday,11/11/2022,3,,,,7'50
Saturday,11/12/2022,,,,,
Sunday,11/13/2022,2,,,,7'45
Monday,11/14/2022,4,,,,7'55
Tuesday,11/15/2022,,,,,
Wednesday,11/16/2022,3,,,,7'45
Thursday,11/17/2022,,,,,
Friday,11/18/2022,3,,,,7'45
Saturday,11/19/2022,,,,,
Sunday,11/20/2022,2,,,,7'25
Monday,11/21/2022,5,,,,7'45
Tuesday,11/22/2022,,,,,
Wednesday,11/23/2022,3,,,,7'35
Thursday,11/24/2022,,,,,
Friday,11/25/2022,4,,,,7'35
Saturday,11/26/2022,,,,,
Sunday,11/27/2022,2,,,,7'15
Monday,11/28/2022,6,,,,7'50
Tuesday,11/29/2022,,,,,
Wednesday,11/30/2022,3,,,,7'10
Thursday,12/1/2022,,,,,
Friday,12/2/2022,4,,,,7'10
Saturday,12/3/2022,,,,,
Sunday,12/4/2022,5,,,,7'20
Monday,12/5/2022,6,,,,7'30
Tuesday,12/6/2022,,,,,
Wednesday,12/7/2022,4,,,,7'10
Thursday,12/8/2022,,,,,
Friday,12/9/2022,5,,,,7'15
Saturday,12/10/2022,,,,,
Sunday,12/11/2022,6,,,,7'20
Monday,12/12/2022,10,,,,8'
Tuesday,12/13/2022,,,,,
Wednesday,12/14/2022,5,,,,7'30
Thursday,12/15/2022,,,,,
Friday,12/16/2022,4,,,,7'00
Saturday,12/17/2022,,,,,
Sunday,12/18/2022,8,,,,7'30
Monday,12/19/2022,12,,,,8'
Tuesday,12/20/2022,,,,,
Wednesday,12/21/2022,8,,,,7'15
Thursday,12/22/2022,,,,,
Friday,12/23/2022,3,,,,6'40
Saturday,12/24/2022,,,,,
Sunday,12/25/2022,9,,,,7'10
Monday,12/26/2022,15,,,,7'45
Tuesday,12/27/2022,,,,,
Wednesday,12/28/2022,5,,,,7'10
Thursday,12/29/2022,,,,,
Friday,12/30/2022,4,,,,6'50
Saturday,12/31/2022,,,,,
Sunday,1/1/2023,10,,,,7'15
Monday,1/2/2023,16,,,,7'40
Tuesday,1/3/2023,,,,,
Wednesday,1/4/2023,5,,,,6'40
Thursday,1/5/2023,,,,,
Friday,1/6/2023,5,,,,6'35
Saturday,1/7/2023,,,,,
Sunday,1/8/2023,11,,,,7'20
Monday,1/9/2023,17,,,,7'45
Tuesday,1/10/2023,,,,,
Wednesday,1/11/2023,6,,,,6'55
Thursday,1/12/2023,,,,,
Friday,1/13/2023,5,,,,6'35
Saturday,1/14/2023,,,,,
Sunday,1/15/2023,11,,,,7'10
Monday,1/16/2023,18,,,,7'45
Tuesday,1/17/2023,,,,,
Wednesday,1/18/2023,6,,,,6'50
Thursday,1/19/2023,,,,,
Friday,1/20/2023,7,,,,6'50
Saturday,1/21/2023,,,,,
Sunday,1/22/2023,12,,,,7'10
Monday,1/23/2023,19,,,,7'45
Tuesday,1/24/2023,,,,,
Wednesday,1/25/2023,7,,,,6'50
Thursday,1/26/2023,,,,,
Friday,1/27/2023,8,,,,6'55
Saturday,1/28/2023,,,,,
Sunday,1/29/2023,13,,,,7'20
Monday,1/30/2023,20,,,,8'00
Tuesday,1/31/2023,,,,,
Wednesday,2/1/2023,10,,,,7'00
Thursday,2/2/2023,,,,,
Friday,2/3/2023,7,,,,6'45
Saturday,2/4/2023,,,,,
Sunday,2/5/2023,13,,,,7'15
Monday,2/6/2023,21,,,,7'45
Tuesday,2/7/2023,,,,,
Wednesday,2/8/2023,9,,,,6'50
Thursday,2/9/2023,,,,,
Friday,2/10/2023,7,,,,6'40
Saturday,2/11/2023,,,,,
Sunday,2/12/2023,13,,,,7'10
Monday,2/13/2023,22,,,,7'40
Tuesday,2/14/2023,,,,,
Wednesday,2/15/2023,7,,,,6'30
Thursday,2/16/2023,,,,,
Friday,2/17/2023,9,,,,6'40
Saturday,2/18/2023,,,,,
Sunday,2/19/2023,13,,,,7'00
Monday,2/20/2023,22,,,,7'10
Tuesday,2/21/2023,,,,,
Wednesday,2/22/2023,10,,,,6'40
Thursday,2/23/2023,,,,,
Friday,2/24/2023,8,,,,6'30
Saturday,2/25/2023,,,,,
Sunday,2/26/2023,14,,,,7'00
Monday,2/27/2023,21,,,,7'00
Tuesday,2/28/2023,,,,,
Wednesday,3/1/2023,10,,,,6'30
Thursday,3/2/2023,,,,,
Friday,3/3/2023,10,,,,6'30
Saturday,3/4/2023,,,,,
Sunday,3/5/2023,16,,,,6'50
Monday,3/6/2023,19,,,,6'50
Tuesday,3/7/2023,,,,,
Wednesday,3/8/2023,13,,,,6'30
Thursday,3/9/2023,,,,,
Friday,3/10/2023,12,,,,6'20
Saturday,3/11/2023,,,,,
Sunday,3/12/2023,6,,,,6'20
Monday,3/13/2023,8,,,,6'15
Tuesday,3/14/2023,,,,,
Wednesday,3/15/2023,6,,,,6'15
Thursday,3/16/2023,,,,,
Friday,3/17/2023,8,,,,6'15
Saturday,3/18/2023,,,,,
Sunday,3/19/2023,26.2,,,,6'40
